UNSORTED ONES
Algorithm, Input Size, Average Time
Selection Sort, 38080, 400.14
Bubble Sort, 38080, 0.0220127
Quick Sort, 38080, 715.935
Merge Sort, 38080, 2.52613
Shell Sort, 38080, 0.18581
Radix Sort (LSD), 38080, 0.233836
Insertion Sort, 40320, 0.0369108
Selection Sort, 40320, 447.897
Bubble Sort, 40320, 0.0237064
Quick Sort, 40320, 803.033
Merge Sort, 40320, 2.71979
Shell Sort, 40320, 0.196692
Radix Sort (LSD), 40320, 0.264159
Insertion Sort, 42560, 0.050164
Selection Sort, 42560, 499.521
Bubble Sort, 42560, 0.0245987
Quick Sort, 42560, 894.926
Merge Sort, 42560, 2.86272
Shell Sort, 42560, 0.208208
Radix Sort (LSD), 42560, 0.263587
Insertion Sort, 44800, 0.0408592
Selection Sort, 44800, 554.159
Bubble Sort, 44800, 0.0277769
Insertion Sort, 42560, 0.0423038
Bubble Sort, 42560, 0.0274798
Merge Sort, 42560, 2.83875
Shell Sort, 42560, 0.212044
Radix Sort (LSD), 42560, 0.246398
Insertion Sort, 44800, 0.0414325
Bubble Sort, 44800, 0.0273232
Merge Sort, 44800, 3.01659
Shell Sort, 44800, 0.230745
Radix Sort (LSD), 44800, 0.261873
Insertion Sort, 47040, 0.0430938
Bubble Sort, 47040, 0.0291361
Merge Sort, 47040, 3.14659
Shell Sort, 47040, 0.229206
Radix Sort (LSD), 47040, 0.27242
Insertion Sort, 49280, 0.0451959
Bubble Sort, 49280, 0.0283351
Merge Sort, 49280, 3.32
Shell Sort, 49280, 0.244481
Radix Sort (LSD), 49280, 0.298484
Insertion Sort, 51520, 0.0469163
Bubble Sort, 51520, 0.029489
Merge Sort, 51520, 3.44755
Shell Sort, 51520, 0.252901
Radix Sort (LSD), 51520, 0.304535
Insertion Sort, 53760, 0.0490236
Bubble Sort, 53760, 0.0396287
Merge Sort, 53760, 3.55756
Shell Sort, 53760, 0.268424
Radix Sort (LSD), 53760, 0.358606
Insertion Sort, 56000, 0.0510296
Bubble Sort, 56000, 0.0326207
Merge Sort, 56000, 3.67177
Shell Sort, 56000, 0.276762
Radix Sort (LSD), 56000, 0.346583
Quick Sort, 44800, 950.156
Quick Sort, 47040, 1091.99
Quick Sort, 49280, 1149.68
Quick Sort, 51520, 1256.01
Quick Sort, 53760, 1426.02
Selection Sort, 47040, 610.166
Selection Sort, 49280, 668.481
Selection Sort, 51520, 730.896
Selection Sort, 53760, 796.204
